,date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change,rolling_std_5
0,2023-11-17,36613.92,38283.61112,44,63.0,7,0.012377896572665345,938.9000000000015,1062.729999999996,-9206.78454,0.04207882306849571
1,2023-11-18,36568.1,17102.24186,34,69.0,3,-0.001252220312786142,666.9099999999962,-1290.0999999999985,-21181.369260000003,0.04136681005307444
2,2023-11-19,37359.86,21246.34648,34,66.0,3,0.021420590373204398,1115.9800000000032,1196.3499999999985,4144.104620000002,0.039279863147646595
3,2023-11-20,37448.78,36022.70291,46,69.0,7,0.0023772666332884944,1073.0,834.8600000000006,14776.35643,0.025947024718552973
4,2023-11-21,35741.65,47646.54804,46,71.0,7,-0.046657457238005864,1914.4400000000023,-826.4499999999971,11623.845130000002,0.026309004111804035
5,2023-11-22,37408.34,45051.30697,49,62.0,7,0.045576998787717926,2229.0899999999965,48.479999999995925,-2595.2410700000037,0.0340150389655142
6,2023-11-23,37294.28,23827.92882,39,66.0,7,-0.003053710529443689,783.4400000000023,-154.5,-21223.378149999997,0.03409790039587946
7,2023-11-24,37713.57,44680.80646,44,66.0,7,0.011180012954367782,1162.489999999998,1971.9199999999983,20852.87764,0.033077149839463964
8,2023-11-25,37780.67,11396.14464,38,73.0,7,0.0017776195288349984,296.90000000000146,372.33000000000175,-33284.66182,0.03307600414809568
9,2023-11-26,37447.43,21264.53723,38,73.0,7,-0.008859513391713852,664.6299999999974,153.15000000000146,9868.392590000001,0.021555280328877022
10,2023-11-27,37242.7,30001.07376,40,66.0,7,-0.005482130309367848,862.2300000000032,-470.8700000000026,8736.536529999998,0.007779521583174551
11,2023-11-28,37818.87,37544.46667,44,68.0,7,0.01535223194675372,1508.5899999999965,38.200000000004366,7543.392910000002,0.01040872397074714
12,2023-11-29,37854.64,32994.19107,44,72.0,7,0.0009453771250752638,880.0,407.2099999999991,-4550.275600000001,0.009293835239975526
13,2023-11-30,37723.96,24740.29147,42,74.0,7,-0.0034581251896556686,645.8499999999985,481.26000000000204,-8253.8996,0.009442415301783864
14,2023-12-01,38682.52,43415.66324,45,71.0,7,0.025092382063089787,1383.1399999999994,863.6499999999942,18675.37177,0.013206321547311854
15,2023-12-02,39450.35,26696.92161,46,74.0,7,0.019655100831166433,1075.5299999999988,1595.7099999999991,-16718.74163,0.012260121035948042
16,2023-12-03,39972.26,26710.65335,49,73.0,7,0.013142794289187723,975.1399999999994,2248.300000000003,13.731739999999263,0.012126436919857854
17,2023-12-04,41991.1,79272.33059,91,74.0,7,0.049271977534901416,2447.739999999998,3308.5800000000017,52561.67724,0.019218875954239944
18,2023-12-05,44073.32,67490.74644,90,75.0,7,0.04839691964470645,3074.0,4622.970000000001,-11781.584149999995,0.016725294643177985
19,2023-12-06,43762.69,51431.10492,87,72.0,7,-0.007072982823143485,961.9300000000003,3790.4300000000003,-16059.641520000005,0.024155052650964542
20,2023-12-07,43273.14,47103.26845,67,72.0,7,-0.011249508685349425,1226.2300000000032,1282.0400000000009,-4327.836469999995,0.029190969292072228
21,2023-12-08,44170.99,42900.37556,63,72.0,7,0.020536119557329653,1618.9000000000015,97.66999999999825,-4202.892890000003,0.029038752427769012
22,2023-12-09,43713.6,24925.97008,57,73.0,7,-0.010408972260493799,773.5099999999948,-49.09000000000378,-17974.40548,0.02610405111906618
23,2023-12-10,43789.51,18956.61758,49,74.0,7,0.0017350244818206502,486.0,516.3700000000026,-5969.352500000001,0.013241229223726848
24,2023-12-11,41253.4,76663.89804,69,74.0,7,-0.059660757354924286,3582.5,-2917.5899999999965,57707.28046,0.029672003414769426
25,2023-12-12,41492.39,42722.69773,55,67.0,7,0.005776503301278852,1424.1200000000026,-2221.209999999999,-33941.20031,0.030711122165889948
26,2023-12-13,42869.03,45865.99773,56,65.0,7,0.032639616880829996,2920.199999999997,-920.4800000000032,3143.300000000003,0.03387643434990094
27,2023-12-14,43022.26,42047.05709,58,72.0,7,0.0035680023564587876,2020.0,1768.8600000000006,-3818.9406400000007,0.03399644287067697
28,2023-12-15,41940.3,33421.7932,50,70.0,7,-0.025470477640977214,1414.8099999999977,447.9100000000035,-8625.263890000002,0.03516837982504414
29,2023-12-16,42278.03,24118.85747,43,67.0,7,0.008020387258140575,1119.4300000000003,-591.0,-9302.935730000001,0.020640562720037194
30,2023-12-17,41374.65,27722.11452,42,73.0,7,-0.021599191335207872,1172.0699999999997,-1647.6100000000006,3603.25705,0.023748984879238363
31,2023-12-18,42657.8,46734.0925,48,65.0,7,0.030541766708551847,2214.8799999999974,717.5,19011.97798,0.023023071617458125
32,2023-12-19,42275.99,40927.86444,50,73.0,7,-0.008990828549252048,1685.9000000000015,-2.040000000000873,-5806.228060000001,0.023086754945134107
33,2023-12-20,43668.93,48710.2947,58,74.0,7,0.03241755264462973,2077.0,2294.279999999999,7782.430260000001,0.023817632913850185
34,2023-12-21,43861.8,34624.29384,56,70.0,7,0.004406916568444891,955.6299999999974,1204.0,-14086.00086,0.023874569095183235
35,2023-12-22,43969.04,32783.19638,56,74.0,7,0.0024419680670525194,985.7200000000012,1693.050000000003,-1841.0974599999972,0.018372300630043095
36,2023-12-23,43702.16,16557.1293,47,70.0,7,-0.006088221088727501,697.5800000000017,33.2300000000032,-16226.06708,0.016410189905864014
37,2023-12-24,42991.5,25144.33496,42,71.0,7,-0.016395107062850675,1446.0,-870.3000000000029,8587.20566,0.018205859375298113
38,2023-12-25,43576.13,27021.23992,43,73.0,7,0.013507101635684676,1081.8899999999994,-392.9100000000035,1876.9049599999998,0.011322397838033632
39,2023-12-26,42508.93,41010.04282,54,71.0,7,-0.02479535186467053,1955.0800000000017,-1193.2300000000032,13988.802900000002,0.01510605467915381
40,2023-12-27,43428.85,36191.21136,54,73.0,7,0.02140979529821103,1578.3099999999977,437.34999999999854,-4818.831460000001,0.01956357481924893
41,2023-12-28,42563.76,35150.52485,53,73.0,7,-0.02012077980823538,1545.7799999999988,-1012.3699999999953,-1040.6865099999995,0.02115386290529466
42,2023-12-29,42066.95,42597.18912,50,65.0,7,-0.011740790238734814,1811.0,-441.9800000000032,7446.664270000001,0.020638536780230674
43,2023-12-30,42140.28,22906.57818,41,68.0,7,0.0017416561151908701,1092.0199999999968,-1288.5699999999997,-19690.610940000002,0.018670771272817892
44,2023-12-31,42283.58,23585.91603,37,67.0,3,0.0033947781497301243,933.1600000000035,-280.1800000000003,679.3378499999999,0.015890080129206705
45,2024-01-01,44179.55,27174.29903,22,65.0,3,0.04386318131378095,2003.3300000000017,2112.600000000006,3588.382999999998,0.024609378162943528
46,2024-01-02,44946.91,65146.40661,38,71.0,7,0.01722000317113513,1731.2900000000009,2806.6300000000047,37972.107579999996,0.021091009181228058
47,2024-01-03,42845.23,81194.55173,38,70.0,7,-0.04788769521256018,4750.0,561.6500000000015,16048.145120000008,0.03339567538448944
48,2024-01-04,44151.1,48038.06334,32,68.0,3,0.03002352150755492,2115.810000000005,-28.450000000004366,-33156.488390000006,0.03532741794865462
49,2024-01-05,44145.11,48075.25327,31,72.0,3,-0.0001356796630157846,1907.4599999999991,-801.8000000000029,37.18993000000046,0.03551032985488373
50,2024-01-06,43968.32,17835.06144,25,70.0,3,-0.004012787545087865,817.3699999999953,1123.0899999999965,-30240.19183,0.029591800820697872
51,2024-01-07,43929.02,23023.8508,23,71.0,3,-0.000894225072540774,908.5,-222.08000000000175,5188.789359999999,0.027868525283741386
52,2024-01-08,46951.04,72814.57589,42,71.0,7,0.06653020711240704,4073.989999999998,2805.9300000000003,49790.72508999999,0.030289217797297853
53,2024-01-09,46110.0,69927.66617,48,76.0,7,-0.018075510415030107,3223.3300000000017,2141.6800000000003,-2886.909719999996,0.033139827326878625
54,2024-01-10,46653.99,89911.41203,77,73.0,7,0.01172860796383382,3395.5699999999997,2724.970000000001,19983.74586000001,0.03277331685189142
55,2024-01-11,46339.16,87470.3296,80,76.0,7,-0.006771062230729273,3363.4200000000055,-611.8799999999974,-2441.0824300000095,0.033111822936543224
56,2024-01-12,42782.73,86327.93707,48,71.0,7,-0.0798528754667809,5015.529999999999,-3327.269999999997,-1142.3925299999974,0.052851349010518536
57,2024-01-13,42847.99,36118.47464,34,64.0,3,0.0015242196406752171,820.8799999999974,-3806.0,-50209.46243,0.03611246215167234
58,2024-01-14,41732.35,28228.40894,25,60.0,3,-0.02638212870563945,1359.0,-4606.810000000005,-7890.065699999999,0.03629079593783107
59,2024-01-15,42511.1,40269.89303,28,52.0,3,0.01848861088034885,1682.3799999999974,-271.63000000000466,12041.484089999998,0.037858121034062255
60,2024-01-16,43137.95,45045.74589,27,64.0,3,0.014637901828299413,1528.010000000002,289.9599999999991,4775.852859999999,0.04063882684268358
61,2024-01-17,42776.1,33266.21388,27,60.0,3,-0.008423584725432613,997.3099999999977,1043.75,-11779.532009999995,0.01820294508158823
62,2024-01-18,41327.5,43907.51641,27,63.0,3,-0.03445139745815894,2246.720000000001,-1183.5999999999985,10641.302529999994,0.02371120599384435
63,2024-01-19,41659.03,48342.74559,26,51.0,3,0.007990013891329613,1916.8600000000006,-1478.9199999999983,4435.229180000002,0.021663185115780154
64,2024-01-20,41696.04,15923.99493,21,52.0,3,0.0008880084302503328,416.25999999999476,-1080.0599999999977,-32418.750659999998,0.01911673345361896
65,2024-01-21,41580.33,11730.16301,18,56.0,3,-0.002778941360300473,380.4099999999962,252.83000000000175,-4193.8319200000005,0.0162766211200589
66,2024-01-22,39568.02,55426.19911,26,55.0,3,-0.049606002668420156,2258.0699999999997,-2091.010000000002,43696.0361,0.025022518749036132
67,2024-01-23,39897.6,57956.63351,28,50.0,3,0.008294955472882228,1621.739999999998,-1798.4400000000023,2530.4343999999983,0.024258692616564034
68,2024-01-24,40084.88,39293.82861,25,48.0,3,0.004683034141144241,1070.8099999999977,-1495.4500000000044,-18662.804900000003,0.02378687574014948
69,2024-01-25,39961.09,31022.11853,21,52.0,3,-0.003092975166303934,750.239999999998,393.0699999999997,-8271.710079999997,0.023492194466401838
70,2024-01-26,41823.51,47384.96726,23,49.0,3,0.04555239092628425,2424.300000000003,1925.9100000000035,16362.848729999998,0.03401940019599485
71,2024-01-27,42120.63,16224.41667,17,55.0,3,0.00707902280697713,805.6600000000035,2035.75,-31160.55059,0.018998524383124712
72,2024-01-28,42031.06,27294.99838,16,54.0,3,-0.002128775638974226,1221.8700000000026,2069.970000000001,11070.58171,0.02011487046492703
73,2024-01-29,43302.7,31542.74207,21,55.0,3,0.029806119942710457,1528.1200000000026,1479.189999999995,4247.743689999999,0.021419502942853566
74,2024-01-30,42941.1,37619.24546,22,61.0,3,-0.008385579459892248,1198.3700000000026,820.4700000000012,6076.503389999998,0.0226594272561909
75,2024-01-31,42580.0,39871.13688,20,60.0,3,-0.008444749797383772,1468.270000000004,548.9400000000023,2251.89142,0.01597194580394072
76,2024-02-01,43082.94,35231.04664,18,63.0,3,0.011742435619609937,1400.8499999999985,-219.75999999999476,-4640.090239999998,0.01635845616019946
77,2024-02-02,43200.0,29672.14418,18,63.0,3,0.0027134001651212595,941.2099999999991,258.90000000000146,-5558.902460000001,0.01600613192369479
78,2024-02-03,43011.09,12033.40998,16,60.0,3,-0.004382505832045197,500.01000000000204,431.0899999999965,-17638.7342,0.008616177026425994
79,2024-02-04,42582.88,17066.89404,16,60.0,3,-0.010005694851545816,897.0400000000009,-500.06000000000495,5033.484059999999,0.008970036379254125
80,2024-02-05,42708.7,29467.75905,17,60.0,3,0.002950351987088814,1311.6600000000035,-491.3000000000029,12400.865010000001,0.008237878203787321
81,2024-02-06,43098.95,24675.85433,17,64.0,3,0.009095988310426472,825.9800000000032,87.86000000000058,-4791.904720000002,0.007384050364060504
82,2024-02-07,44349.6,34392.59915,18,62.0,3,0.028605054685199374,1608.5,1766.7200000000012,9716.744820000004,0.014925313611494694
83,2024-02-08,45288.65,45439.62231,23,66.0,3,0.02095275967005496,1283.2000000000044,2579.9500000000044,11047.023159999997,0.015135575560711679
84,2024-02-09,47132.77,73503.481,26,72.0,3,0.039912063594217916,2957.8799999999974,4033.8199999999997,28063.85869,0.014837226648201472
85,2024-02-10,47751.09,24802.35936,23,74.0,3,0.013033381077871586,1370.0,3401.489999999998,-48701.12164,0.012368990824601828
86,2024-02-11,48299.99,29958.80837,23,71.0,3,0.01142945972783506,1035.5,3011.3399999999965,5156.44901,0.011775066911541876
87,2024-02-12,49917.27,59009.96705,32,70.0,3,0.03293568144658824,2624.8099999999977,2784.5,29051.15868,0.012449978553477159
