,volatility
0,0.07400134185055812
1,0.047295175314835444
2,0.05807577417818955
3,0.06350137080185474
4,0.06985558777888679
5,0.07752521805851244
6,0.07464166211989555
7,0.07812942920215082
8,0.06396739951369063
9,0.05435017724957362
10,0.05085794307927755
11,0.07260923931645577
12,0.06659658984572936
13,0.056410511676448796
14,0.06767078288453744
15,0.06213161601146064
16,0.059234580271101935
17,0.05223290562088352
18,0.04286378801207369
19,0.0589848291332199
20,0.048432227964856356
21,0.0448485315706121
22,0.04582904795322119
23,0.03780013230649474
24,0.03264900961085428
25,0.028656738890831347
26,0.026354074427405606
27,0.04574112195522084
28,0.04988176273911298
29,0.04372240694804332
30,0.04190649864187825
31,0.03553323439203897
32,0.07059363565269483
33,0.062360223867526376
34,0.05153039153023678
35,0.06964327914503234
36,0.0630632433574116
37,0.0535851470916829
38,0.04804554025786671
39,0.05555175671937258
40,0.05326582402486414
41,0.04499495780213254
42,0.038791281021308986
43,0.03572528350045515
44,0.030575046524478088
45,0.03574991489899305
46,0.029195635647839814
47,0.029261162035589643
48,0.02691866969170697
49,0.032873326609200074
50,0.060555810091304424
51,0.049714456856365864
52,0.049756706774801665
53,0.0408494749292853
54,0.0447425558943693
55,0.045350648592139144
56,0.0644767225117911
57,0.05326162124347232
58,0.04389928664188237
59,0.04828400769516257
60,0.04019357260546863
61,0.039515790354782
62,0.033248986975198916
63,0.028605908742481284
64,0.07037532797802584
65,0.06372629215284098
66,0.052535598515080745
67,0.04405418405086589
68,0.05010463963526573
69,0.04411954555150721
70,0.041097976702236506
71,0.03357157055438748
72,0.04032534146816431
73,0.03520193835694951
74,0.034677385545792985
75,0.028523220473665338
76,0.04001977128242382
77,0.06838482942250268
78,0.06148832521483607
79,0.05662306012815164
80,0.05397352967170325
81,0.044135608303239905
82,0.039177876233674226
83,0.03367448048593841
84,0.03048980106502366
85,0.036363528630956224
86,0.03207993196192583
87,0.02626401626290103
88,0.027907644696173097
89,0.02850731980470532
90,0.02385209015630448
91,0.023745705793107797
92,0.024909816296687034
93,0.03558373564334881
94,0.03593504527384873
95,0.03735517702454203
96,0.030527022355689347
97,0.027065324792785884
98,0.022291490802896427
99,0.02193581907446819
100,0.02935649774710011
101,0.024075766880302225
102,0.028309013399180696
103,0.027005497777772315
104,0.03429794081399951
105,0.036774142096627646
106,0.036979675061294195
107,0.030210566727090975
108,0.024667466573390816
109,0.022162938912657842
110,0.021558849195593883
111,0.04002286104547504
112,0.03372423766323723
113,0.028742771121230797
114,0.02347014636230572
115,0.020062390415527525
116,0.01639942985801628
117,0.02434846209183315
118,0.023133277816228235
119,0.018897567124652948
120,0.01543226373369537
121,0.014963255283140377
122,0.014151231506190087
123,0.05203795252628354
124,0.051009280080029945
125,0.04474678907163472
126,0.03670329986655666
127,0.05419415666573501
128,0.04772651999275888
129,0.04207309483404126
130,0.03435254030249363
131,0.0368154134912776
132,0.030199535846757636
133,0.024794864972830493
134,0.021311281089971407
135,0.05940718961532637
136,0.05546883260136677
137,0.04594798923674499
138,0.040812686208762015
139,0.03637253673259198
140,0.03174726993513063
141,0.03436352951596826
142,0.04857624828005892
143,0.04156663357197076
144,0.03554108450904822
145,0.03349297328070848
146,0.032739849704787306
147,0.026808645583472703
148,0.023734726411087773
149,0.02001166769167272
150,0.018404806368329675
151,0.0177643408346093
152,0.01599509535860328
153,0.032967193864491165
154,0.031459807818726225
155,0.026505409032152677
156,0.021882874822243558
157,0.019730096152314865
158,0.01943002834000537
159,0.032753893581444427
160,0.043154959196105305
161,0.03930901130397885
